Request Rate,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
162,1620.48,1579,2638,45,539,1328,11,0,6047,6377,6721,13879
243,2429.5,1682,5441,57,630,1327,10,0,8394,9930,11814,34025
324,3233.85,4094,46340,610,761,1330,10,0,62481,65218,69729,118732
405,4050.64,8005,63006,2240,774,1324,10,0,102906,123359,134492,180895
729,4499.56,2536865,4739076,15274106,854,1325,10,0,21981772,32981038,34295558,34893612
648,4526.17,3483466,5954425,10071282,846,1323,10,0,18780246,29062546,29247538,30999290
567,4574.91,1812009,2874137,7596424,822,1321,10,0,13672889,17005805,17463662,18078405
486,4584.8,964931,1584459,976659,818,1322,10,0,4076830,7233906,7369580,7577330
