Request Rate,Inferences/Second,Client Send,Network+Server Send/Recv,Server Queue,Server Compute Input,Server Compute Infer,Server Compute Output,Client Recv,p50 latency,p90 latency,p95 latency,p99 latency
162,2268.53,2578,3834,61,973,1625,11,0,8332,9184,10535,29929
243,3400.51,527253,201944,1094,946,1624,11,0,19759,1936304,1948358,1965259
324,4504.61,1545427,496303,4390,1055,1619,11,0,1303933,6406554,6439158,6480538
405,4924.82,6701788,2187213,483198,1181,1617,10,0,7929764,21919561,22835959,23687767
